id,roads,slope,urban,herbaceous_crop,tree_crop,ag_forestry,forest,scler_trans,soil,prov,dema,warrens
18185,0,3.51599331085498,0,0,0.7,0.3,0,0,1651.3175100035,Ciudad Real,0,0
18184,3.66508657776128,2.38714890269246,0,0,0.7,0.3,0,0,2182.56518062506,Ciudad Real,0,0
18181,8.20240732299674,1.28692858117723,0,0.5,0.5,0,0,0,2565.08716668312,Ciudad Real,0,0
18180,7.96311911503762,1.27712513737236,0,0.58,0.42,0,0,0,2217.01649139169,Ciudad Real,0,0
18183,8.86741609946142,3.45703742571877,0,0,0.57,0.43,0,0,2244.41006797536,Ciudad Real,0,0
18182,8.20520342218673,1.13735661854102,0,0.04,0.75,0.21,0,0,2531.64842248674,Ciudad Real,0,0
18179,0.536438325226303,1.17682800945323,0,0.83,0.17,0,0,0,2176.49590426056,Ciudad Real,0,0
16169,0.520394758234322,4.86325657559145,0,0.77,0.22,0.01,0,0,2059,Ciudad Real,0,0
16171,1.92918665542543,2.6706439606048,0,0.51,0.44,0.05,0,0,2354,Ciudad Real,0,0
16170,7.78789470557039,3.28913664354936,0,0.65,0.35,0,0,0,2089.7608168079,Ciudad Real,0,0
15881,5.75966628236694,2.11164296524464,0,0.76,0,0.24,0,0,2556.89503715427,Ciudad Real,0,0
15882,1.65503284188798,1.30711854015918,0.22,0.78,0,0,0,0,2397.41866218429,Ciudad Real,0,0
14730,7.66778478707588,7.53520996100173,0,0.85,0,0,0.15,0,621.750212802444,Ciudad Real,0,0
18755,3.29373779468165,1.57977764229061,0,1,0,0,0,0,1507.29686281673,Ciudad Real,0,0
16748,6.97235767057529,5.68349358207269,0,0.39,0.53,0.02,0,0.06,384.161369429679,Ciudad Real,0,0
16747,3.44696281314581,5.53659167170975,0,0.24,0.03,0.27,0,0.46,268,Ciudad Real,0,0
18469,9.03538711719628,3.06831806506545,0,0.51,0.49,0,0,0,2247,Ciudad Real,0,0
